run_index,pair_id,scenario,run_type,group_index,group_type,alice_label,bob_label,batch_size,n_qubits,status,latency_s,session_id,n_delivered,n_sifted,qber,key_final,error_message,progress_pct,phase_label,loss_rate,interceptor_label,retry_enabled,qkdl_url,intercepted,eve_registered,n_intercepted,basis_match_rate,theoretical_eve_qber,eve_detection_correct,group_wall_time_s,timestamp
,,eve,concurrent,4,eve,alice-1,bob-1,20,64,aborted,2.019,e85052c7-0ddd-4d80-bfb9-0bcd77173d81,64,0,0.3333333333333333,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8023,True,True,64,0.5469,0.25,True,4.187,2026-05-23T21:03:16.369811
,,eve,concurrent,4,eve,alice-2,bob-2,20,64,aborted,2.175,f54bc4b5-d1a4-4867-8556-2a8be37b13c1,64,0,0.6666666666666666,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8003,True,True,64,0.4844,0.25,True,4.187,2026-05-23T21:03:17.385936
,,clean,concurrent,5,clean,alice-1,bob-1,10,128,done,14.67,7b7be24b-2b8d-46bb-8cc5-12977d7235cb,128,73,0.0,10111011111110100110100010101010001101001100100100110001001,,100.0,Key generated,0.0,,False,http://localhost:8013,False,,,,,,30.642,2026-05-23T21:03:50.090605
,,clean,concurrent,5,clean,alice-3,bob-3,10,128,done,14.568,8f67d55a-ad09-44de-8048-3abd37a0687c,128,66,0.0,10000000000100100010101111100101100110011111111000010,,100.0,Key generated,0.0,,False,http://localhost:8023,False,,,,,,30.642,2026-05-23T21:03:50.090835
,,clean,concurrent,5,clean,alice-2,bob-2,10,128,done,29.631,31e1ab61-6b85-4a19-8101-f412e56da34f,128,57,0.0,1111011000000111000100001011001101101010011101,,100.0,Key generated,0.0,,False,http://localhost:8003,False,,,,,,30.642,2026-05-23T21:03:50.090998
,,eve,concurrent,6,eve,alice-3,bob-3,10,128,aborted,2.051,6bf426fd-bb7f-4778-8bd8-38d71803eafd,128,0,0.16666666666666666,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8003,True,True,128,0.5156,0.25,True,2.32,2026-05-23T21:03:55.502570
,,eve,concurrent,6,eve,alice-2,bob-2,10,128,aborted,1.954,34b2aba8-ca32-475a-b2dc-745b4c181dad,128,0,0.18181818181818182,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8013,True,True,128,0.5078,0.25,True,2.32,2026-05-23T21:03:56.527820
,,eve,concurrent,6,eve,alice-1,bob-1,10,128,aborted,1.868,3e8ea06e-5ba9-4169-9b52-b9f447227cb4,128,0,0.25,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8023,True,True,128,0.4844,0.25,True,2.32,2026-05-23T21:03:57.551997
,,clean,concurrent,7,clean,alice-3,bob-3,20,128,done,9.749,d1a9bcf8-6bdb-4c2f-875f-be3f12fd3739,128,68,0.0,0011000110011101010010100111100110110110110101000001000,,100.0,Key generated,0.0,,False,http://localhost:8013,False,,,,,,30.539,2026-05-23T21:04:30.159303
,,clean,concurrent,7,clean,alice-1,bob-1,20,128,done,13.743,445c58cf-2e2b-4427-bb01-ee496a16423c,128,61,0.0,1101101011001101111101001001111001010000010100011,,100.0,Key generated,0.0,,False,http://localhost:8023,False,,,,,,30.539,2026-05-23T21:04:30.159506
,,clean,concurrent,7,clean,alice-2,bob-2,20,128,done,28.948,3ffa4db3-3ee2-4613-a1dc-4c5e661fab17,128,70,0.0,01011100010011011101111001000010100000111101101010100100,,100.0,Key generated,0.0,,False,http://localhost:8003,False,,,,,,30.539,2026-05-23T21:04:30.159615
,,eve,concurrent,8,eve,alice-1,bob-1,20,128,aborted,2.006,500e86fa-9e13-41d4-a77e-f11408fd8cfb,128,0,0.25,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8003,True,True,128,0.5234,0.25,True,2.212,2026-05-23T21:04:35.457529
,,eve,concurrent,8,eve,alice-2,bob-2,20,128,aborted,1.901,bef8b64e-eb4a-4878-bf98-d2819595b847,128,0,0.25,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8013,True,True,128,0.5234,0.25,True,2.212,2026-05-23T21:04:36.483736
,,eve,concurrent,8,eve,alice-3,bob-3,20,128,done,1.823,30db9058-cfe3-41f8-a9ac-c931b5abfdc3,128,78,0.06666666666666667,010000011110101111101100011111001111000111110111111011100010010,,100.0,Key generated,0.0,eve-1,False,http://localhost:8023,True,True,128,0.5391,0.25,False,2.212,2026-05-23T21:04:37.508606
,,clean,concurrent,9,clean,alice-3,bob-3,10,200,done,13.295,1dc2dfaa-0ebd-4e6f-9f42-169a5faf39fe,200,113,0.0,1011101100100011111010110001111100111100110101101000100001010011101000000010110110101000100,,100.0,Key generated,0.0,,False,http://localhost:8013,False,,,,,,40.659,2026-05-23T21:05:20.228385
,,clean,concurrent,9,clean,alice-2,bob-2,10,200,done,13.989,095a54b8-a5ae-4986-9e05-b97965e95650,200,99,0.0,01011101111010011111001010001010000101100001010011100000101010011010011011100101,,100.0,Key generated,0.0,,False,http://localhost:8023,False,,,,,,40.659,2026-05-23T21:05:20.228540
,,clean,concurrent,9,clean,alice-1,bob-1,10,200,done,40.096,82bdba84-ca89-4e02-b7a1-52aae92e0db1,200,109,0.0,1010100010000010111101100000011100100101111111011010010001011010100101000100110110100010,,100.0,Key generated,0.0,,False,http://localhost:8003,False,,,,,,40.659,2026-05-23T21:05:20.228733
,,eve,concurrent,10,eve,alice-2,bob-2,10,200,aborted,2.514,d024550e-76cb-473f-8ecd-da9c35a7e156,200,0,0.2631578947368421,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8003,True,True,200,0.545,0.25,True,4.236,2026-05-23T21:05:27.598368
,,eve,concurrent,10,eve,alice-1,bob-1,10,200,aborted,2.34,7423a51e-54a7-4374-9d1c-7312a33f1a7f,200,0,0.38095238095238093,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8013,True,True,200,0.425,0.25,True,4.236,2026-05-23T21:05:28.627621
,,eve,concurrent,10,eve,alice-3,bob-3,10,200,aborted,2.367,75ddeacb-d986-4429-bf48-39209a7011b6,200,0,0.2,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8023,True,True,200,0.52,0.25,True,4.236,2026-05-23T21:05:29.656575
,,clean,concurrent,11,clean,alice-3,bob-3,20,200,done,13.406,ec9f5465-62d6-4242-9f95-e70f4bd742ca,200,98,0.0,1101001110100010010100001111101111001010100101001110011110110101111001110101100,,100.0,Key generated,0.0,,False,http://localhost:8013,False,,,,,,40.696,2026-05-23T21:06:12.413319
,,clean,concurrent,11,clean,alice-1,bob-1,20,200,done,13.61,32a7e923-ff7c-41db-9654-80ed1f97a13c,200,91,0.0,0010011110110010000011010010010010100110010100101010111111011000110101000,,100.0,Key generated,0.0,,False,http://localhost:8023,False,,,,,,40.696,2026-05-23T21:06:12.413450
,,clean,concurrent,11,clean,alice-2,bob-2,20,200,done,39.59,e4df4aa1-fa24-4719-a63a-35a3e357f3ae,200,101,0.0,001100101011010001110011100101011110110100100111100011110100111000111110011011100,,100.0,Key generated,0.0,,False,http://localhost:8003,False,,,,,,40.696,2026-05-23T21:06:12.413548
,,eve,concurrent,12,eve,alice-3,bob-3,20,200,aborted,2.091,39556777-69a3-46bb-b768-b887e88f5120,200,0,0.19047619047619047,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8023,True,True,200,0.515,0.25,True,4.206,2026-05-23T21:06:19.706096
,,eve,concurrent,12,eve,alice-2,bob-2,20,200,aborted,2.291,062428e5-bd41-475a-aa31-d85b7cdc62db,200,0,0.2857142857142857,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8003,True,True,200,0.555,0.25,True,4.206,2026-05-23T21:06:20.732135
,,eve,concurrent,12,eve,alice-1,bob-1,20,200,aborted,2.188,d80980fa-6a48-4b68-ad5a-1c6c5427c2e5,200,0,0.25,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8013,True,True,200,0.455,0.25,True,4.206,2026-05-23T21:06:21.759801
,,clean,concurrent,13,clean,alice-1,bob-1,10,512,done,22.984,6ca3f7af-11f7-4a04-a946-5fd2c03bacab,512,248,0.02040816326530612,0010110000000011110101010010000101000001000011000010001111100000100011000111100100000100100100010100000001001000111000000001111110100101011100010001111000100100101101001111100111100101010000010001011,,100.0,Key generated,0.0,,False,http://localhost:8023,False,,,,,,99.703,2026-05-23T21:08:03.526379
,,clean,concurrent,13,clean,alice-2,bob-2,10,512,done,35.598,aa3ed68a-452b-4802-8c2d-25ac394a63a0,512,246,0.0,00111011011101110010000111110101100110110010011110110010011011011010010001111000100100010010000100000110101000010011100111011011101111101101101100010011001001110000000100101111100011111001100100101,,100.0,Key generated,0.0,,False,http://localhost:8013,False,,,,,,99.703,2026-05-23T21:08:03.526559
,,clean,concurrent,13,clean,alice-3,bob-3,10,512,done,99.089,a3237e4b-fb4b-476b-a5d2-3d21d15f99cf,512,256,0.0,0000110101101000011010011010101000001100100111101011100100010100100001000101101101101110001111100010000001111001001011101010100101011101111011111111110111001010100010010011100000110000010111100000110011100,,100.0,Key generated,0.0,,False,http://localhost:8003,False,,,,,,99.703,2026-05-23T21:08:03.526743
,,eve,concurrent,14,eve,alice-2,bob-2,10,512,aborted,5.969,3ad4b56b-ac38-4a8f-865f-3aea5561535f,512,0,0.21739130434782608,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8003,True,True,512,0.5,0.25,True,6.474,2026-05-23T21:08:13.112204
,,eve,concurrent,14,eve,alice-3,bob-3,10,512,aborted,5.836,7fb2da60-9894-4a83-a602-f0e177e4028b,512,0,0.16981132075471697,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8013,True,True,512,0.5156,0.25,True,6.474,2026-05-23T21:08:14.143381
,,eve,concurrent,14,eve,alice-1,bob-1,10,512,aborted,5.723,93da0ad5-6d79-4491-a889-55cf06f094ac,512,0,0.24489795918367346,,QBER_TOO_HIGH,0.0,Session aborted,0.0,eve-1,False,http://localhost:8023,True,True,512,0.4766,0.25,True,6.474,2026-05-23T21:08:15.187037
,,clean,concurrent,15,clean,alice-1,bob-1,20,512,done,33.539,59f8fe44-93e7-45b0-81d3-ec3ddf676721,512,251,0.0,010101111010110110011001111011010110100110111101111101110010101011100010000110010001111111011011000101010000100100110110101010111001001100001110100100010110100101010010011001101100100101001101001110100,,100.0,Key generated,0.0,,False,http://localhost:8013,False,,,,,,99.538,2026-05-23T21:09:56.781183
,,clean,concurrent,15,clean,alice-3,bob-3,20,512,done,34.589,f6356eac-475c-4a06-b5f7-4cd37d4cd73d,512,268,0.0,11001000111111100000001101110011001110011100101100111010110101111101111010000110100011011001010000000110000111001011111010110100011001011110011100111111011001001110110111000000010011001110001101111101010100100011111,,100.0,Key generated,0.0,,False,http://localhost:8023,False,,,,,,99.538,2026-05-23T21:09:56.781509
,,clean,concurrent,15,clean,alice-2,bob-2,20,512,done,99.041,f3260b0d-710e-48cd-adbe-69a36808c8bc,512,257,0.0,00100010101011001101001100101100011101000010010000000111100111011001011100011110110111010010111110010010111011110000100110001001100101100010110110001110100101101110001011111010101110100111111001001100111101,,100.0,Key generated,0.0,,False,http://localhost:8003,False,,,,,,99.538,2026-05-23T21:09:56.781704
