group_index,group_type,alice_label,bob_label,batch_size,n_qubits,status,latency_s,session_id,n_delivered,n_sifted,qber,key_final,error_message,progress_pct,phase_label,loss_rate,interceptor_label,retry_enabled,qkdl_url,intercepted,run_type,group_wall_time_s,timestamp
22,same_index,alice-3,bob-3,10,1024,done,136.92,c3f5f21d-634e-4b62-ada4-82b97a49a85e,1024,515,0.0,1101110010000000100000111111110111101001011110101101111100100011010000001101110110100011000101101100000110000110101111110011100001011011001001001100001010100011000111100101100011011111001101101010010001111111011010011011110000001100000000000100011011001111010010010010110100111010001000110010100000101011111010100000001100010000011011011100001111110111110111110111000110010011110010101001000001110111010100010111,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,286.239,2026-05-22T19:56:52.004276
22,same_index,alice-1,bob-1,10,1024,done,151.831,fb20be65-ba11-4a78-b909-84fba95b9f1d,1024,494,0.0,111100011000000110011100110101011011110111011111010111110000011100110011011111000111000011100001001011001100100111011001011111111010000010101101011101010011000000010110010011001100001100110100101100010111011001000011111001100001110011111011010101000001110100111000000010011100100011100010010101101001001001100110010010100101100000101110011011100110010000011011111000010111110010010110111000010011,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,286.239,2026-05-22T19:56:52.004312
22,same_index,alice-2,bob-2,10,1024,done,285.184,ae9d5fd9-202f-4262-aebe-6d7760408f95,1024,547,0.0,010011010111010011011110111111001010101100111000111101000000001001100110010100010111100001101100110100110010110110000010000011001110100110000010010011011100110110001101001101011100101100111101100011000011001010010010111111011101111111111101110001001100110100110110011011011000110100101100001000000111000011010110110100001010110011000000100011010011110110110100011000111100001110100101111010000111011111011110001100001100101110101010101100,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,286.239,2026-05-22T19:56:52.004325
23,cross_1,alice-1,bob-2,10,1024,done,131.84,5a1edd28-d7fb-42eb-880b-b03215ed4976,1024,520,0.0,10100011101001000000000001001110010110100010110001001011101110001101010001111011010110010000110000010111101110110000101110011011101011100001100101111110111101011001110100010011011000000000000001001111010011010101011111000000100001101110101001101011100001011100100110010001001011000011001010101111101011010111010000110111011111101000001111111010010011010100000110011100001011001110110100001010010010010010110000011010,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,340.908,2026-05-22T20:02:36.914409
23,cross_1,alice-3,bob-1,10,1024,done,208.153,7505cbc8-d023-418e-bc66-d35edb8ce224,1024,504,0.0,10001111100010110100111011110101110010011111111001110110001001110000011101010110011011111000001011111110011101000000101110001101001001100100111101010001010010111101001010011011011010001100100101100100100000100101000101111111100011001110111100000010010011010011101100001101011100010001100111000100111010011101011010101111100000111101110011001000101001001101000010000011110101010001010001101000100100000010,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,340.908,2026-05-22T20:02:36.914462
23,cross_1,alice-2,bob-3,10,1024,done,339.135,c15a7a39-3d6a-4502-9ba3-17b19af072a3,1024,518,0.0,1010110100111011010001011110001001110011110001110110100101101101111100011101111001110001100101001001010000101011111001010001000010101010000011101100000111010101011101001101101101101001001010000000111001111101111011111111111111000110110011011111111111011111001011101010011001110110000110001100110001101101011110110111001110011111111010111101101111011111111011111011011001100101111111100100010100110110110110001101110,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,340.908,2026-05-22T20:02:36.914483
24,cross_2,alice-3,bob-2,10,1024,done,131.425,f1de6c73-4176-4653-b303-a5abe87d5473,1024,485,0.0,0000001001001111010010111011001001111100010010001000101100010000100000101011111000011111011111011001110100011101010111101000110110111001000011000001000010111111110001000011010010000111110011100101011100010010110010000100110101101100001001111000111000110000111000011111101100100110111110001101010100011001111011100101111000111111111111101111110010110011111111000100011000100101000010001001,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,314.903,2026-05-22T20:07:55.819249
24,cross_2,alice-2,bob-1,10,1024,done,181.186,4fa5f9c0-409c-43a6-bf9e-8c0790694ed9,1024,552,0.0,0011101101010111111010111111000100101010100111100101010001100010001101110000011111101001000000100010000111100101000000000010110111001101110111100000010111110111001111101110010001001010001101010111111010010100111100010111001010100100010110010100011011101000110000010011011010001100100001101000101111000001100111110111001000111101000001100010001110011110110110100111011000010010110111001011111001011111001001110111010010101010010010000111100110,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,314.903,2026-05-22T20:07:55.819284
24,cross_2,alice-1,bob-3,10,1024,done,312.888,378321ee-7522-4f0f-bf46-29e37aa4446b,1024,534,0.0,01001101100110001011111011100101011111110000100010101111010011110100111100101110110101110011010011011010000101001001001100000110110010111111011010011000100101111100010100101101011010111011111010110111001111101000100110000100010111110110000010010111010010101111011101100101000111010011001011010010111111001100100011100101011110101110000011110101101010100100011000010000001111000111000010111100011011011000101010000011010010010100,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,314.903,2026-05-22T20:07:55.819296
25,same_index,alice-1,bob-1,20,1024,done,132.524,9a55b618-3b68-4e6e-91d4-3c9dd5712620,1024,528,0.0,001001100000001001001000010110110110101011011111001100001110111010000001110111010111111010010001001000110000101111101010011010000100101000110101010010101100010010101001101010000100100100111100100011011100001001110111100001011111100110011111101011110011100011100101001000110111011101000001001110000000100110010001011110101011010011110100100011100111001101111110110010010110110100000111101101011001101010100000101100100010001,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,282.061,2026-05-22T20:12:41.882598
